path,area,name_pattern,size_bytes,mutability,referenced_by
.claude/skills/graphify/references/query.md,.claude,query.md,13456,unknown,1
.claude/skills/graphify/references/transcribe.md,.claude,transcribe.md,3173,unknown,2
.claude/skills/graphify/references/update.md,.claude,update.md,10425,unknown,1
.claude/skills/library-spike/SKILL.md,.claude,SKILL.md,5807,unknown,70
.claude/skills/phase-review/SKILL.md,.claude,SKILL.md,8648,unknown,69
.claude/skills/planning-with-files/LICENSE,.claude,LICENSE,1066,unknown,8
.claude/skills/planning-with-files/SKILL.md,.claude,SKILL.md,32561,unknown,69
.claude/skills/planning-with-files/examples.md,.claude,examples.md,4518,unknown,2
.claude/skills/planning-with-files/reference.md,.claude,reference.md,8455,unknown,5
.claude/skills/planning-with-files/scripts/attest-plan.ps1,.claude,attest-plan.psN,5041,unknown,2
.claude/skills/planning-with-files/scripts/attest-plan.sh,.claude,attest-plan.sh,8771,unknown,5
.claude/skills/planning-with-files/scripts/check-complete.ps1,.claude,check-complete.psN,9919,unknown,2
.claude/skills/planning-with-files/scripts/check-complete.sh,.claude,check-complete.sh,10085,unknown,5
.claude/skills/planning-with-files/scripts/gate-stop.sh,.claude,gate-stop.sh,1452,unknown,1
.claude/skills/planning-with-files/scripts/init-session.ps1,.claude,init-session.psN,6490,unknown,0
.claude/skills/planning-with-files/scripts/init-session.sh,.claude,init-session.sh,11163,unknown,6
.claude/skills/planning-with-files/scripts/inject-plan.sh,.claude,inject-plan.sh,31507,unknown,5
.claude/skills/planning-with-files/scripts/ledger-append.ps1,.claude,ledger-append.psN,6379,unknown,1
.claude/skills/planning-with-files/scripts/ledger-append.sh,.claude,ledger-append.sh,11699,unknown,1
.claude/skills/planning-with-files/scripts/ledger-summary.ps1,.claude,ledger-summary.psN,4550,unknown,0
.claude/skills/planning-with-files/scripts/ledger-summary.sh,.claude,ledger-summary.sh,6136,unknown,2
.claude/skills/planning-with-files/scripts/phase-status.ps1,.claude,phase-status.psN,6603,unknown,0
.claude/skills/planning-with-files/scripts/phase-status.sh,.claude,phase-status.sh,4827,unknown,1
.claude/skills/planning-with-files/scripts/plan-doctor.sh,.claude,plan-doctor.sh,6857,unknown,1
.claude/skills/planning-with-files/scripts/resolve-plan-dir.ps1,.claude,resolve-plan-dir.psN,4334,unknown,4
.claude/skills/planning-with-files/scripts/resolve-plan-dir.sh,.claude,resolve-plan-dir.sh,11015,unknown,11
.claude/skills/planning-with-files/scripts/session-catchup.py,.claude,session-catchup.py,31548,unknown,2
.claude/skills/planning-with-files/scripts/set-active-plan.ps1,.claude,set-active-plan.psN,1645,unknown,0
.claude/skills/planning-with-files/scripts/set-active-plan.sh,.claude,set-active-plan.sh,1505,unknown,1
.claude/skills/planning-with-files/templates/analytics_findings.md,.claude,analytics_findings.md,3336,unknown,2
.claude/skills/planning-with-files/templates/analytics_task_plan.md,.claude,analytics_task_plan.md,3980,unknown,2
.claude/skills/planning-with-files/templates/findings.md,.claude,findings.md,3561,unknown,33
.claude/skills/planning-with-files/templates/progress.md,.claude,progress.md,4001,unknown,19
.claude/skills/planning-with-files/templates/task_plan.md,.claude,task_plan.md,4950,unknown,28
.claude/skills/planning-with-files/templates/task_plan_autonomous.md,.claude,task_plan_autonomous.md,10720,unknown,0
.claude/skills/python-package/SKILL.md,.claude,SKILL.md,13688,unknown,70
.claude/skills/python-test/SKILL.md,.claude,SKILL.md,46256,unknown,70
.claude/skills/receiving-code-review/SKILL.md,.claude,SKILL.md,6203,unknown,70
.claude/skills/repo-architecture/SKILL.md,.claude,SKILL.md,12494,unknown,70
.claude/skills/reporter-cycle/SKILL.md,.claude,SKILL.md,16660,unknown,70
.claude/skills/reporter-cycle/scripts/nudge.py,.claude,nudge.py,2947,unknown,4
.claude/skills/reporter-cycle/scripts/reporter-cycle.sh,.claude,reporter-cycle.sh,798,unknown,5
.claude/skills/reporter-cycle/scripts/reporter.py,.claude,reporter.py,18256,unknown,8
.claude/skills/reporter-cycle/scripts/tests/test_reporter.py,.claude,test_reporter.py,11069,unknown,1
.claude/skills/reproducing-ci-locally/SKILL.md,.claude,SKILL.md,10804,unknown,70
.claude/skills/requesting-code-review/SKILL.md,.claude,SKILL.md,2944,unknown,70
.claude/skills/requesting-code-review/code-reviewer.md,.claude,code-reviewer.md,5669,unknown,3
.claude/skills/secret-hygiene/SKILL.md,.claude,SKILL.md,9799,unknown,70
.claude/skills/security-audit/CI_SECURITY.md,.claude,CI_SECURITY.md,5852,unknown,2
.claude/skills/security-audit/SKILL.md,.claude,SKILL.md,6120,unknown,70
.claude/skills/security-audit/VULNERABILITIES.md,.claude,VULNERABILITIES.md,8234,unknown,1
.claude/skills/security-audit/scripts/security_scan.py,.claude,security_scan.py,8952,unknown,4
.claude/skills/spec-change/SKILL.md,.claude,SKILL.md,11861,unknown,70
.claude/skills/subagent-driven-development/SKILL.md,.claude,SKILL.md,32315,unknown,70
.claude/skills/subagent-driven-development/implementer-prompt.md,.claude,implementer-prompt.md,6335,unknown,2
.claude/skills/subagent-driven-development/re-review-prompt.md,.claude,re-review-prompt.md,4756,unknown,1
.claude/skills/subagent-driven-development/scripts/review-package,.claude,review-package,1469,unknown,4
.claude/skills/subagent-driven-development/scripts/sdd-workspace,.claude,sdd-workspace,1586,unknown,3
.claude/skills/subagent-driven-development/scripts/task-brief,.claude,task-brief,3106,unknown,8
.claude/skills/subagent-driven-development/task-reviewer-prompt.md,.claude,task-reviewer-prompt.md,9021,unknown,1
.claude/skills/systematic-debugging/CREATION-LOG.md,.claude,CREATION-LOG.md,4257,unknown,0
.claude/skills/systematic-debugging/SKILL.md,.claude,SKILL.md,9465,unknown,70
.claude/skills/systematic-debugging/condition-based-waiting-example.ts,.claude,condition-based-waiting-example.ts,5054,unknown,1
.claude/skills/systematic-debugging/condition-based-waiting.md,.claude,condition-based-waiting.md,3516,unknown,1
.claude/skills/systematic-debugging/defense-in-depth.md,.claude,defense-in-depth.md,3650,unknown,1
.claude/skills/systematic-debugging/find-polluter.sh,.claude,find-polluter.sh,1986,unknown,1
.claude/skills/systematic-debugging/root-cause-tracing.md,.claude,root-cause-tracing.md,5316,unknown,1
.claude/skills/systematic-debugging/test-academic.md,.claude,test-academic.md,653,unknown,0
.claude/skills/systematic-debugging/test-pressure-1.md,.claude,test-pressure-N.md,1900,unknown,0
.claude/skills/systematic-debugging/test-pressure-2.md,.claude,test-pressure-N.md,2283,unknown,0
.claude/skills/systematic-debugging/test-pressure-3.md,.claude,test-pressure-N.md,2692,unknown,0
.claude/skills/test-driven-development/SKILL.md,.claude,SKILL.md,9015,unknown,70
.claude/skills/test-driven-development/writing-good-tests.md,.claude,writing-good-tests.md,8268,unknown,2
.claude/skills/testing-strategy/FIXTURES.md,.claude,FIXTURES.md,1419,unknown,1
.claude/skills/testing-strategy/HYPOTHESIS.md,.claude,HYPOTHESIS.md,1807,unknown,1
.claude/skills/testing-strategy/SKILL.md,.claude,SKILL.md,21509,unknown,70
.claude/skills/ui-ux-pro-max/LICENSE,.claude,LICENSE,1075,unknown,8
.claude/skills/ui-ux-pro-max/SKILL.md,.claude,SKILL.md,15628,unknown,70
.claude/skills/ui-ux-pro-max/data/app-interface.csv,.claude,app-interface.csv,11046,unknown,5
